anime_id,Name,Genres,prediction
43593,Lian Sheng San Ji,UNKNOWN,2
43594,Wang,UNKNOWN,2
43595,Shui Lu,UNKNOWN,2
43596,Xin Zhuang De Men Ling,UNKNOWN,2
43597,Chao Ji Fei Zao,UNKNOWN,2
43598,Ookina Furudokei,UNKNOWN,0
43600,Chuan Shu Zijiu Zhinan: Xian Meng Pian,"Drama, Supernatural",0
43601,DiSCOVER THE FUTURE,UNKNOWN,0
43602,Ookina Furudokei (1973),UNKNOWN,0
43603,Ookina Furudokei (2002),UNKNOWN,0
43605,Yi Ye Fu Weng,UNKNOWN,2
43606,Xiao Cai Feng,UNKNOWN,2
43607,Xiao Tu Tao Tao De Gushi: Bu Pa Leng De Da Yi,UNKNOWN,2
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy, Romance",1
Meanwhile,council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu,,0
As love further blooms at Shuchiin Academy,"the student council officers drag their outsider friends into increasingly comedic conflicts.\"",spring 2022,0
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,"Comedy, Ecchi",1
Meanwhile,Miyuki Shirogane and Yuu Ishigami examine a discarded pornographic magazine—its content bearing an uncanny resemblance to the other student council members. Later on,,0
"These eccentric activities reveal a side of the student council that has never been seen before!\"",OVA,Finished Airing,0
43610,Qi Ren You Tian,UNKNOWN,2
43611,Xin Hulu Xiongdi,UNKNOWN,2
43612,Hulu Xiongdi (Movie),UNKNOWN,0
43613,Lata Dawang Qiyu Ji,UNKNOWN,2
43614,Lata Dawang Qiyu Ji (Movie),UNKNOWN,0
43615,Qiao Zai Qi Zhong,UNKNOWN,2
43616,Mayi He Da Xiang,UNKNOWN,2
43617,You Qiu Bi Ying,UNKNOWN,2
43619,Xue Shizi,UNKNOWN,2
43620,Feixiang De Gezi,UNKNOWN,2
43621,Koushin,Sci-Fi,0
43622,Mama Qing Xiuxi,UNKNOWN,2
43623,Laohu Zhuang Ya,UNKNOWN,2
43624,Xuanmei Ji,UNKNOWN,2
43625,Yue Dayue Xiang,UNKNOWN,2
43626,Jue Shi Wu Hun,"Action, Fantasy",1
(Source: AC.QQ,"translated)\"",UNKNOWN,0
43627,Houkiboshi (2012),Sci-Fi,0
43628,Kazaguruma (1996),UNKNOWN,0
43629,Tokyo Babylon 2021,"Boys Love, Drama, Fantasy, Supernatural",1
Subaru has to resolve a variety of spiritual conflicts in Tokyo: some are cases formally brought to him by clients,and others are matters in which he decides to involve himself. A selfless teenager,"or is he hiding sinister secrets?\"",0
43632,Houzi Dian Bianpao,UNKNOWN,2
43633,Xiang Hu,UNKNOWN,2
43634,Ying,UNKNOWN,2
43636,Poshui Jie De Chuanshuo,UNKNOWN,2
43637,Yu,UNKNOWN,2
43638,Qiangzhe Shanggou,UNKNOWN,2
43639,Zhui Shu,UNKNOWN,2
43640,Douji,UNKNOWN,2
43642,Pi Pi De Gushi,UNKNOWN,2
43643,Lan Gu,UNKNOWN,2
43644,Bupiao,UNKNOWN,2
43646,Xiao E Yu Hong Fangzi,UNKNOWN,2
43647,Gudu De Xiao Zhu,UNKNOWN,2
43648,Du Mu Qiao,UNKNOWN,2
43649,Zhengzhi,UNKNOWN,2
43650,Jinbi Guo Youji,UNKNOWN,2
43651,Anning,Avant Garde,2
43652,Baxian Yu Tiaozao,UNKNOWN,2
43653,Gao Nuren He Ai Zhangfu,Comedy,2
43654,Yiban Er Wangguo,UNKNOWN,2
43655,Lanhua Hua,UNKNOWN,2
43656,Aaron He Lili,UNKNOWN,2
43657,Xiao Xiao Huajia,UNKNOWN,2
43658,Hong Qiqiu,UNKNOWN,2
43659,Ben Gouxiong,UNKNOWN,2
43660,Senlin Li De Jin Yueliang,UNKNOWN,2
43661,Qiyi De Menggu Ma,UNKNOWN,2
43662,Shuke He Beita,UNKNOWN,2
43663,"Senlin, Xiaoniao He Wo",UNKNOWN,2
43664,Gudu De Lily,UNKNOWN,2
43665,Ai Ni,UNKNOWN,2
43666,Zhong Shu,UNKNOWN,2
43667,Qi Niu Nan Xia,UNKNOWN,2
43668,Dongtian Li De Xiaotian Shu,UNKNOWN,2
43669,Yīban Er,UNKNOWN,2
43670,Xiao Dingzi,UNKNOWN,2
43671,Lu He Niu,UNKNOWN,0
43672,Mofang Dasha,UNKNOWN,2
43673,Tebie Chedui,UNKNOWN,2
43674,Yinshen Tan Zhang,UNKNOWN,2
43675,Hong Bizi,UNKNOWN,2
43676,Shi Er Shengxiao,UNKNOWN,2
43677,Zigu Yingxiong Chu Shaonian,UNKNOWN,2
43678,Kuai Yue Jia Jia Che,UNKNOWN,2
43679,Xingxing Tan Zhang,UNKNOWN,2
43680,Xiao Jingling Hui Dou,UNKNOWN,2
43681,Dahong Ying,UNKNOWN,2
43682,Koneko no Byouki,UNKNOWN,0
43683,Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,Comedy,0
43684,Semi wa Magic Cube,"Action, Comedy, Fantasy",1
"(Source: hobbykr)\"",ONA,Finished Airing,0
43688,Kumo,UNKNOWN,0
43689,Boku no Nikkichou,UNKNOWN,0
43690,Tenkuu Shinpan,"Action, Horror, Mystery",1
However,she soon finds that there are more masked murderers in the area,12.0,0
43691,Kageki Shoujo!!,Drama,1
"The eccentric Sarasa Watanabe is the only person who wishes to become Ai's friend. She enters Kouka with the goal of becoming a top \"\"otokoyaku\"\" performer—an actress that plays traditionally male roles. After seeing a Kouka performance of The Rose of Versailles when she was younger",Sarasa dreams of performing as Lady Oscar one day. Unfortunately,,0
Succeeding at Kouka will involve more than just raw talent for these young girls as jealousy,deceit,"Jul 4, 2021 to Sep 26, 2021",0
43692,Gokushufudou,Comedy,0
Donning his trusty apron,Tatsu is now striving to become an efficient homemaker. Because of this,"Tatsu's new way of life will only be more eccentric from here on out!\"",0
43693,Thermae Romae Novae,"Comedy, Slice of Life",1
Loaded with what seems to be knowledge way ahead of his time,Lucius does his best to try and recreate his findings,11.0,0
43694,Rilakkuma to Yuuenchi,UNKNOWN,0
"(Source: Netflix)\"",ONA,Finished Airing,0
43696,Bad Mood,Slice of Life,0
"(Source: ANN)\"",ONA,Currently Airing,0
43697,Yasuke,"Action, Fantasy",1
"(Source: Netflix)\"",ONA,Finished Airing,0
43702,Doraon Yeongung Hong Gildong,"Action, Adventure",2
43703,Hong Gildong Janggun,"Action, Adventure",0
43704,Tomato Confit,"Comedy, Drama",1
"(Source: Geidai Animation)\"",Movie,Finished Airing,0
43711,Juunenbun no Watashi e,Drama,0
43712,Tell the Story to You,UNKNOWN,0
43722,Ai wo Komete,"Comedy, Slice of Life",0
Will the happy days of the girl and cherry tomatoes begin?,,,0
"(Source: AniDB)\"",ONA,Finished Airing,0
43727,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀ Mini Anime","Action, Fantasy",1
(Source: MU,"edited)\"",UNKNOWN,0
43729,Semi wa Magic Cube 2nd Season,"Action, Fantasy",5
43735,Cue!,UNKNOWN,1
43739,Idol Shineitai,UNKNOWN,0
"(Source:  Project SEKAI Wiki)\"",Music,Finished Airing,0
43741,Getter Robo Arc,"Action, Sci-Fi",0
Taking place several years after Getter Robo Go,Earth is now a post-apocalyptic world. Hayato,the human-dinosaur Kamui,0
"(Source: MAL News)\"",TV,Finished Airing,0
43745,Attack Zero x Evangelion,Slice of Life,0
43746,Hamigaki Ondo,UNKNOWN,0
43751,"Ayanami Rei, Hajimete no Kuchibeni",UNKNOWN,0
43755,Misaki no Mayoiga,"Award Winning, Drama",1
43756,Bakuten!!,Sports,1
The demonstration of skill captivates Shoutarou,and he decides to enroll at Shoushukan in hopes of joining the team despite having no background in the sport. The club recruits him alongside Ryouya Misato,,0
Now with a full six-man roster,the team sets out to compete in the upcoming Inter-High tournament. As he strives to accomplish this ambitious endeavor,"Apr 9, 2021 to Jun 25, 2021",0
43760,Hikari no Ou,Fantasy,1
Touko,a young village girl,the girl's family sends her to the capital in order to return Kanata and the hunter's fire sickle to his relatives.,0
Elsewhere,the fire hunter's son,TV,0
43761,Nemui Inu,Comedy,0
43762,Hula Fulla Dance,UNKNOWN,0
"(Source: MAL News)\"",Movie,Finished Airing,0
43763,Cestvs: The Roman Fighter,"Action, Drama",1
43767,Night Head 2041,"Drama, Mystery, Sci-Fi, Supernatural",1
The Kirihara brothers,Naoya and Naoto—who were hidden away from society by their captors for years to conceal their psychic abilities—were promised freedom once the world was ready to face their existence. Now,TV,0
43768,Gifts,UNKNOWN,0
43769,OTMGirls no Yokiyoki Channel,Comedy,0
"(Source: Official YouTube Channel)\"",ONA,Finished Airing,0
43771,Vazzrock The Animation,UNKNOWN,1
43772,Hua Jianghu: Xia Lan,"Adventure, Drama, Fantasy",5
43774,Sherlock Holmes to Watson Hakase,Mystery,0
43775,Penguin Minna Kyoudai 2020,UNKNOWN,0
43778,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,"Adventure, Comedy",0
43779,Eoneu Nal Jameseo Kkaeeoboni Bagelyeoga Doeeo Isseotda,"Comedy, Romance, Ecchi",1
After another long,lonely night of gaming,who offers him advice. He soon falls for her charms – which makes things complicated to say the least. And things get even more bizarre when he attempts to take revenge on Sang Woo,1
"(Source: Viki)\"",ONA,Finished Airing,0
43780,Sumikko Gurashi Movie 2,Comedy,2
43787,Ohirune no Yurikago,UNKNOWN,0
43791,Toromitsu Musume no Hitou Service: Torottoro Churu Churu Gohoushi Sasete Kudasai,Hentai,1
43793,Knight of Erin,"Fantasy, Hentai",5
43794,Bihua Li De Gushi,UNKNOWN,2
43795,Diao Longji,UNKNOWN,2
43796,Shihang,UNKNOWN,2
43797,Shan Ya Zi,UNKNOWN,2
43798,Liang Zhi Xiao Kongque,UNKNOWN,2
43799,Kongque De Yanhuo,UNKNOWN,2
43800,Xiao Dan Ke,UNKNOWN,2
43801,Bang Jin Mei Duo,UNKNOWN,2
43803,Da Daozei,UNKNOWN,2
43804,Xiyou Ji: Wu Jian Baobei,UNKNOWN,2
43805,Wo Cuole,UNKNOWN,2
43806,Yisheng Yu Huangdi,UNKNOWN,2
43807,San,Comedy,2
43808,Jing Hua Yuan,UNKNOWN,2
43809,Kuaile De Mai Mai Ti,UNKNOWN,2
43810,Meijian Chi,UNKNOWN,2
43814,Deatte 5-byou de Battle,Supernatural,0
Akira Shiroyanagi,a high schooler who loves games and Konpeito (Japanese sweets),,0
"Akira is determined to win the game with his newfound powers and destroy the organization. Armed with a power no one expects and his \"\"brain\"\" skills",the new period of intelligence battle begins!,,0
(Source: MU,"edited)\"",summer 2021,0
43816,Yeban Guai Sheng,UNKNOWN,2
43817,Zhi Dou Wuya,UNKNOWN,2
43818,Zi Zuo Zi Shou,UNKNOWN,2
43819,"Zuiba, Erduo He Yanjing",UNKNOWN,2
43820,Dong Dong He Gua Gua,UNKNOWN,2
43821,Lianhua Gongzhu,UNKNOWN,2
43822,Xiao Huangyou De Gushi,UNKNOWN,2
43823,Da Qiqiu,Fantasy,5
43824,Chuntian Li De Xiaotian Shu,UNKNOWN,2
43825,Jingquan Jiuhu Dui,UNKNOWN,2
43826,Kaixin Guo,UNKNOWN,2
43827,Xiao Heshang: You Fang Seng,UNKNOWN,2
43828,Lu Nu,UNKNOWN,2
43829,Hu Seng,UNKNOWN,2
43830,Jiao Jiao Yu Jing Jing,Sci-Fi,2
43831,Da Senlin Li De Xiao Gushi,Fantasy,5
43832,Xiyou Man Ji,UNKNOWN,2
43834,Baixue Gongzhu Yu Gingwa Wangzi,Fantasy,5
43836,Boshi Wa Dou Bianselong,Fantasy,0
43837,Riyuetan,Fantasy,5
43838,Shenma Yu Yaodao,Fantasy,5
43839,Die Shuangfei,Slice of Life,2
43840,Huan You Diqiu Bashi Tian,Adventure,2
43841,Matouqin De Gushi,Fantasy,5
43842,He De Chuanshuo,Fantasy,5
43843,Renshen Wangguo,Fantasy,5
43844,Shen Di,Fantasy,5
43845,Yao Shu Yu Songshu,Fantasy,5
43846,Hong Shi Feng,Fantasy,5
43847,Huoba Jie,UNKNOWN,2
43848,Kuerlei Xiang Li,Fantasy,5
43849,Poshui Jie,UNKNOWN,2
43850,Mie Yao Ji,Fantasy,5
43851,Xue Hu,Drama,2
43852,12 Shengxiao Quanjiafu de Shenqi Shijie,UNKNOWN,2
43853,"Ouch, Mama!",Comedy,2
43854,Guai Cheng,Adventure,2
43856,Zhongdian Fuzi,UNKNOWN,2
43857,Xiao Caomao,UNKNOWN,2
43858,12 Shengxiao Guanjiafu: Wangluo Shijie Lixian,Adventure,2
43859,Fengchen Xiao Youxia,Adventure,2
43860,Hong Haier Chuanqi,"Adventure, Fantasy",0
43861,Jia You Kaixin Guo,Comedy,2
43863,Bravo Dong Dong,Comedy,2
43864,Caibao Xiao Huli,Adventure,2
43865,Feilong Tian Jiang,Fantasy,5
43866,Shui De Zhangfu Li De Zui Yuan,Comedy,2
43867,Huixiang,Romance,2
43868,Baiyu Tang,"Action, Drama",2
43871,Mogui Xinpian,"Adventure, Fantasy, Sci-Fi",5
43872,Tu Hongse De Luotuo,Adventure,0
43875,Bai Ge Dao,"Adventure, Sci-Fi",2
43877,Da Yingxiong Di Qing,Adventure,2
43878,Miko no Tsutome!,Comedy,0
43879,Curry Meshi in Miracle,UNKNOWN,0
This is the music video for the original song,Curry Meshi in Miracle,,0
"(Source: Official Hololive YouTube channel)\"",Music,Finished Airing,0
43881,Da Erduo Tutu,Comedy,2
43882,Da Erduo Tutu 2nd Season,Comedy,2
43883,Da Erduo Tutu 3rd Season,Comedy,2
43884,Da Erduo Tutu 4th Season,Comedy,2
43885,Da Erduo Tutu 5th Season,Comedy,2
43887,Da Erduo Tutu: Tutu Zhihui Wangguo,Comedy,2
43888,26 Ge Mimi,"Adventure, Mystery",2
43889,Tiancai Faming Jia,"Adventure, Comedy",2
43891,Zhonghua Meide,"Adventure, Fantasy",5
43892,Shuai Gou Hei Pi,"Adventure, Sci-Fi",2
43893,Shen Gong Chuanqi,Fantasy,0
43894,Ma Lan Hua,Fantasy,5
43895,Ma Lan Hua (2009),Fantasy,5
43896,Xiao Zhuoma,Fantasy,1
"(Source: AniDB)\"",TV,Finished Airing,0
43897,Jingling Nuhai Xiao Zhuoma,Fantasy,1
"(Source: AniDB)\"",Movie,Finished Airing,0
43898,Xi Bai Po,UNKNOWN,2
43899,Shaonian Yue Fei Chuanqi,"Adventure, Fantasy",5
43901,Xi Bai Po 2: Yingxiong Wang Er Xiao,UNKNOWN,1
"(Source: IMDB)\"",Movie,Finished Airing,0
43903,Niu Yuan,"Drama, Fantasy",5
43904,Fang Lian Yeye He Yuan Lian Nainai,Drama,2
43906,Huihe,UNKNOWN,2
43907,Qiao Xia Shi Lu,UNKNOWN,2
43908,Huli Fen Bing,Fantasy,5
43909,Shei Pa Shei,Suspense,2
43910,Mo Feng,UNKNOWN,2
43911,Mao Yu Shu,UNKNOWN,2
43912,12 Zhi Wenzi He 5 Geren,UNKNOWN,2
43913,Shei Shi Guanjun,UNKNOWN,2
43914,Guai Laotou Er,UNKNOWN,2
43915,Cixi Zuo Huoche,UNKNOWN,2
43916,Kaidian,UNKNOWN,2
43917,Viola wa Utau,UNKNOWN,0
43918,San Zhi Xiao Huli Zhai Putao,UNKNOWN,2
43919,Obenkyou Shitoite yo,UNKNOWN,0
43920,Datou Er Zi He Xiao Tou Baba,Slice of Life,2
43922,Xin Datou Er Zi He Xiao Tou Baba,Slice of Life,2
43923,Xin Datou Er Zi He Xiao Tou Baba 2nd Season,Slice of Life,2
43924,Xin Datou Er Zi He Xiao Tou Baba 3rd Season,Slice of Life,2
43925,Xin Datou Er Zi He Xiao Tou Baba 4th Season,Slice of Life,2
43926,Xin Datou Er Zi He Xiao Tou Baba 5th Season,Slice of Life,2
43927,Xin Datou Er Zi He Xiao Tou Baba 6th Season,Slice of Life,2
43928,Xin Datou Er Zi He Xiao Tou Baba 3: Eluosi Qiyu Ji,"Adventure, Comedy",2
43929,Xin Datou Er Zi He Xiao Tou Baba 2: Yi Ri Chengcai,"Adventure, Comedy",2
43930,Xin Datou Er Zi He Xiao Tou Baba: Mimi Jihua,"Adventure, Comedy",2
43931,Xin Datou Er Zi He Xiao Tou Baba: Fu Shu Song Ji,Slice of Life,2
43933,Xin Datou Er Zi He Xiao Tou Baba: Ma Nian Xin Yuan,Slice of Life,2
43934,Xin Datou Er Zi He Xiao Tou Baba: Chuxi - Baiye Cheng,Slice of Life,2
43935,Xin Datou Er Zi He Xiao Tou Baba: Nian De Weidao,Slice of Life,2
43936,Xin Datou Er Zi He Xiao Tou Baba: Chao Neng Baba,UNKNOWN,2
43937,Xin Datou Er Zi He Xiao Tou Baba: Caoyuan Qiyu,Adventure,2
43938,Xin Datou Er Zi He Xiao Tou Baba: Menghuan Leyuan Qiyu Ji,UNKNOWN,2
43939,Xin Datou Er Zi He Xiao Tou Baba: Chuanqi Doudou,UNKNOWN,2
43941,Qi Qi Piao Youji,UNKNOWN,2
43942,Xiao Zhu Heng Heng,UNKNOWN,2
43943,Kaixin Jie,Adventure,2
43944,Xiongmao Jing Jing,UNKNOWN,2
43945,Cong Ming De Ben Xiao Zhu,UNKNOWN,2
43946,Fanqie Jiang,UNKNOWN,2
43947,Hahajing Hua Yuan,"Comedy, Fantasy",5
43948,Taiyang Zhizi,"Adventure, Fantasy, Sci-Fi",5
43949,Gulu Xiansheng,Comedy,2
43950,Zhishi Laoren,UNKNOWN,2
43951,Xiao Shenxian He Xiao Xiannu,UNKNOWN,2
43952,Zhonghua Chuanshuo Meide Gushi,UNKNOWN,2
43953,Xiao Hutu Shen,UNKNOWN,2
43954,Shen Nao Cong Zi,UNKNOWN,2
43955,Wan Wan Qian Qian Weisheme,UNKNOWN,2
43956,Xuewen Mao Jiao Hanzi,UNKNOWN,2
43958,Haier Xiongdi,Adventure,2
43959,Haier Xiongdi Yuzhou Da Maoxian,Adventure,2
43960,Xin Sanzijing,UNKNOWN,2
43961,Xiao Bei Liulang Ji,UNKNOWN,2
43962,Yinyue Chuan,UNKNOWN,2
43964,Yueliang Jie,UNKNOWN,2
43965,De Du Xiao Heshang,UNKNOWN,2
43966,Konglong Xuexiao,UNKNOWN,2
43967,San Shi Liu Ji Qiyu Ji,UNKNOWN,2
43968,Maomi Xiao Bei,UNKNOWN,2
43969,Kanojo mo Kanojo,"Comedy, Romance",1
However,one afternoon,"with both girls fully aware. This unprecedented state of affairs ultimately causes wacky and hilarious situations in whatever they do to keep their unusual relationship going.\"",0
43970,Xiao Bing Zhang Ga,UNKNOWN,2
43975,Sai Er Hao: Xunzhao Fenghuang Shenshou,UNKNOWN,2
43976,Qi Jiguang Yingxiong Chuan,UNKNOWN,2
43977,Kaixin Chaoren,Sci-Fi,2
43979,Kaixin Chaoren 2: Qi Yuan Xing Zhi Zhan,UNKNOWN,2
43982,Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,"Comedy, Sports",2
43983,Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian,"Adventure, Comedy",2
43984,Xi Yangyang Yu Hui Tai Lang: Qi Si Miao Xiang Xi Yangyang,"Adventure, Comedy",2
43985,Xi Yangyang Yu Hui Tailang: Gei Kuaile Jiayou,"Adventure, Comedy",2
43986,Xi Yangyang Yu Hui Tailang: Jingji Da Lianmeng,"Adventure, Comedy",2
43987,Xi Yangyang Yu Hui Tailang: Kaixin Riji,"Adventure, Comedy",2
43988,Xi Yangyang Yu Hui Tailang: Kaixin Fangshenshi,"Adventure, Comedy",2
43989,Xi Yangyang Yu Hui Tailang: Lan Yangyang Dang Dachu,"Adventure, Comedy",2
43990,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan,"Adventure, Comedy",2
43991,Xi Yangyang Yu Hui Tailang: Yichu Da Maoxian,"Adventure, Comedy",2
43992,Xi Yangyang Yu Hui Tailang: Mama Le Fengkuang,"Adventure, Comedy",2
43993,Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji,"Adventure, Comedy",2
43994,Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,"Adventure, Comedy",2
43995,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan,"Adventure, Comedy",2
43996,Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji,"Adventure, Comedy",2
43997,Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan,"Adventure, Comedy",2
43998,Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao,"Adventure, Comedy",2
43999,Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe,"Adventure, Comedy",2
44000,Xi Yangyang Yu Hui Tailang: Kua Shikong Jiu Bing,"Adventure, Comedy",2
44001,Xi Yangyang Yu Hui Tailang: Qiqu Waixing Ke,"Adventure, Comedy",2
44002,Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,"Adventure, Comedy",2
44003,Xi Yangyang Yu Hui Tailang: Xi yangyang You Shibo,"Adventure, Comedy",2
44004,Xi Yangyang Yu Hui Tailang: Man Jing Tou,"Adventure, Comedy",2
44005,Xi Yangyang Yu Hui Tailang: Yangyang Deyi Xi Yangyang,"Adventure, Comedy",0
44006,Jiaren Jiu Jia Hui Tailang,"Comedy, Romance",2
44007,Zhiqu Yang Xuetang: Dong Zhi Wu Pian Pian,"Adventure, Comedy",2
44008,Zhiqu Yang Xuetang: Yundong Pian,"Adventure, Comedy",2
44009,Zhiqu Yang Xuetang: Diqiu Jianianhua,"Adventure, Comedy",2
44010,Zhiqu Yang Xuetang: Yangyang You Shijie,"Adventure, Comedy",2
44011,Zhiqu Yang Xuetang: Qihuan Chengyu Shu,"Adventure, Comedy",2
44012,Zhiqu Yang Xuetang: Yangyang Lai Yunbao,"Adventure, Comedy",2
44013,Zhiqu Yang Xuetang: Yangyang Qu Maoxian,"Adventure, Comedy",2
44014,Songdai Zuqiu Xiaojiang,Sports,2
44015,Baobei Nuer Hao Mama,Comedy,2
44016,Baobei Nuer Hao Mama: Kuaile De Jiating,Comedy,2
44017,Baobei Nuer Hao Mama: Chi Jiyi De Daxue Qiu,Comedy,2
44018,Xiao Song Dangjia,UNKNOWN,2
44019,Dianji Xiaozi,UNKNOWN,2
44020,Dianji Xiaozi 2nd Season,UNKNOWN,2
44021,Dianji Xiaozi 3rd Season,UNKNOWN,2
44025,Doraemon Movie 41: Nobita no Little Star Wars,"Adventure, Comedy, Sci-Fi",1
"(Source: IMDb)\"",Movie,Finished Airing,0
44026,Zannen na Ikimono Jiten (2019),"Comedy, Slice of Life",2
44031,Jushen Zhan Ji Dui: Guidao Xianfeng,"Action, Sci-Fi",2
44032,Chao Xian Lie Bing-kai Neng,"Action, Sci-Fi",2
44033,Chao Xian Lie Bing-kai Neng 2nd Season,"Action, Adventure",2
44035,Ling Su Zhengba,"Adventure, Sci-Fi",2
44037,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita","Adventure, Fantasy, Romance",1
Although honest,kind,"the \"\"Hero\"\" and a former member of her party. Ares Drowa",0
44040,Abciee Shuugyou Nikki,Comedy,0
